Startup Name,Location,Founders,Website,Article URL
Translated,"Rome, Italy",Marco Trombetti,Translated.com,https://www.eu-startups.com/2019/01/marco-trombetti-the-founder-ceo-of-translated-com-and-pi-campus-will-speak-at-our-eu-startups-summit-on-may-2-3-in-barcelona/
Japal.it,Milan,Paolo Broglia and Jacopo Moschini,Japal.it,https://www.eu-startups.com/2020/04/japal-raises-e300k-to-deliver-grocery-and-home-brands-to-italians-in-quarantine/
misterb&b,France,Matthieu Jost,,https://www.eu-startups.com/2019/08/rainbow-capitalism-european-startups-that-are-successfully-serving-the-gay-community/
Cleafy,Milan,"Matteo Bogana, Niccolò Pastore, Carmine Giangregorio",,https://www.eu-startups.com/2023/09/milan-based-cleafy-secures-e10-million-to-prevent-online-banking-fraud-in-real-time/
Mr. Jeff,Spain,,,https://www.eu-startups.com/2019/03/saving-time-for-women-and-men-on-the-go-10-startups-that-help-with-household-tasks/
Resalis Therapeutics,"Torino, Italy",N/A,N/A,https://www.eu-startups.com/2024/01/torino-based-resalis-raises-e10-million-series-a-to-provide-a-therapeutic-that-reduces-fat-mass-in-obesity/
MSing with Trauma / MSing with Crowds,Romania,null,null,https://www.eu-startups.com/2020/09/join-eit-health-innostars-awards-and-meet-europes-15-most-promising-healthcare-startups-in-2020-sponsored/
Translated,null,Marco Trombetti,null,https://www.eu-startups.com/2019/09/why-and-how-to-build-a-startup-chapter-11-money/
Acodyne,Copenhagen,"Mads Schnack, Claes Nicolaisen, Martin Arndt, Jasmina Pless",N/A,https://www.eu-startups.com/2026/06/unmanned-cargo-aircraft-developer-acodyne-secures-e2-5-million-for-defence-and-offshore-logistics/
AMPYR Solar Europe,London,Not specified,Not specified,https://www.eu-startups.com/2024/06/rays-of-innovation-10-european-startups-shaping-the-future-of-solar-power/
Freeda Media,Milan,Andrea Scotti Calderini and Gianluigi Casole,N/A,https://www.eu-startups.com/2018/05/milan-based-freeda-media-raises-10-million-series-a-to-delight-more-millennial-women-with-their-premium-content/
EpiCura,Italy,"Gianluca Manitto, Alessandro Ambrosio",,https://www.eu-startups.com/2021/09/italy-based-epicura-lands-e5-million-for-its-digital-health-platform/
Building Radar,UK,null,null,https://www.eu-startups.com/2020/10/meet-the-20-european-scaleups-that-made-it-into-the-finals-of-this-years-eit-digital-challenge/
Chatterbox,UK,,,https://www.eu-startups.com/2018/09/10-european-startups-tackling-the-refugees-crisis/
null,null,null,null,https://www.eu-startups.com/2025/08/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-aug-11-14/
Hotelyo,"Milan, Italy",Babotel and Jakala,,https://www.eu-startups.com/2010/12/italian-startup-hotelyo-raised-1-million-e-in-angel-round/
StartuppaMI,Milan,Marco Ottolini,,https://www.eu-startups.com/2013/02/the-new-year-brings-the-first-startuppami-meet-up-of-2013/
TeiaCare,"Milan, Italy","Luca Iozzia, Guido Magrin, Roberto Salamina",N/A,https://www.eu-startups.com/2019/11/italian-healthtech-startup-teiacare-raises-e1-1-million-in-funding-for-pioneering-monitoring-technology/
Gaussion,London,Tom Heenan,,https://www.eu-startups.com/2026/06/from-charging-evs-and-drones-to-powering-data-centres-london-based-gaussion-raises-e24-5-million/
Switcho,Milan,"Marco Tricarico, Redi Vyshka, and Francesco Laffi",,https://www.eu-startups.com/2023/02/the-italian-ecosystem-and-building-strong-fintech-teams-interview-with-marco-tricarico-founder-and-ceo-of-switcho/
HR Duo,Ireland,Jerome Forde (CEO),,https://www.eu-startups.com/2026/06/amid-a-e500-700-million-sme-hrtech-opportunity-irelands-hr-duo-secures-e1-6-million-for-growth/
Akamas,Milan,Luca Forni and Stefano Doni,N/A,https://www.eu-startups.com/2025/02/akamas-secures-e9-6-million-to-expand-into-the-us-and-accelerate-cloud-optimisation/
Lucida AI,London,Mustafa Girgin and M. Sait Demirci,N/A,https://www.eu-startups.com/2026/06/uk-speech-ai-startup-lucida-ai-lands-e6-1-million-to-develop-speech-native-ai-for-global-communication/
Step Venture,Milan,"Maria Imbesi, Roberto Montandon, Michele Novelli, Gennaro Tesone",,https://www.eu-startups.com/2025/11/new-e30-million-step-fund-targets-early-stage-italian-startups-with-international-growth-potential/
BizAway,"Milan, Italy",Luca Carlucci,,https://www.eu-startups.com/2023/07/milan-based-scaleup-bizaway-bags-e10-million-to-consolidate-operations-in-the-business-travel-sector/
Involve,"Lipomo, Italy","Jonathan Polotto, Claudio",N/A,https://www.eu-startups.com/2024/09/italian-company-involve-secures-e2-5-million-round-for-stratospheric-balloon-tech/
Dreamfarm,"Parma, Italy",Maddalena Zanoni and Mattia Sandei,N/A,https://www.eu-startups.com/2023/11/parma-based-dreamfarm-snaps-e5-million-to-create-an-innovation-hub-for-plant-based-cheese-alternatives/
Aenduo,null,null,null,https://www.eu-startups.com/2013/09/techcrunch-italy-startup-competition-finalists-announced/
MIND Music Labs,"Stockholm, Sweden",Michele Benincaso,,https://www.eu-startups.com/2015/11/stockholm-based-mind-music-labs-presents-the-worlds-first-smart-guitar-at-web-summit-2015/
Houdini Bio,UK,Jonathan Cohen-Gold,,https://www.eu-startups.com/2026/06/houdini-bio-emerges-from-stealth-with-e1-7-million-to-tackle-dna-silencing-in-gene-therapies/
Cloudsmith,"Belfast, UK",,,https://www.eu-startups.com/2025/11/european-startups-helping-reduce-the-risk-of-outages-like-todays-cloudflare-disruption/
Bricks.sh,"Milan, Italy","Dario Di Carlo, Giuliano Torregrossa",,https://www.eu-startups.com/2026/01/with-a-third-of-developer-time-spent-on-internal-tools-milans-bricks-sh-raises-e1-6-miliion-to-automate-admin-panels/
Antlos,Venice,,,https://www.eu-startups.com/2016/01/5-italian-startups-to-look-out-for-in-2016/
IdentifAI,Milan,Marco Ramilli,,https://www.eu-startups.com/2024/09/milan-based-identifai-gets-e2-2-million-to-detect-fake-ai-generated-content-online/
BaseTrack,Estonia,null,null,https://www.eu-startups.com/2024/06/we-make-future-2024-meet-the-startup-competition-winners-sponsored/
Vikey,Italy,Not specified in the article,Not specified in the article,https://www.eu-startups.com/2020/11/italian-startup-vikey-lands-e800k-to-enable-self-check-in-for-accomodation/
WeRoad,Milan,"Andrea D
Amico (CEO)",null,https://www.eu-startups.com/2023/11/milan-based-weroad-takes-off-with-e18-million-series-b-to-reinvent-group-adventure-travel-for-millennials/
Deliveristo,Milan,"Ivan Aimo, Luca Calia, Gabriele Angeleri",,https://www.eu-startups.com/2020/12/milan-based-deliveristo-secures-e4-5-million-to-digitally-connect-suppliers-and-restaurant-owners/
INsure,Portugal,,,https://www.eu-startups.com/2020/06/insurtech-healthtech-wellbeing-startups-join-the-insure-acceleration-programme-sponsored/
Faba,"Treviso, Italy",Matteo Fabbrini,,https://www.eu-startups.com/2025/08/italys-edtech-startup-faba-gets-serious-with-e4-5-million-to-expand-its-screen-free-storytelling-magic-in-spain/
VICIO,Barcelona,,N/A,https://www.eu-startups.com/2023/10/from-seed-funding-to-sesame-seeds-6-european-startups-shaping-the-burger-game/
Talent Garden,"Brescia, Italy",N/A,N/A,https://www.eu-startups.com/2019/03/italian-startup-talent-garden-raises-e44-million-to-open-more-co-working-spaces-throughout-europe/
Algorithmiq,"Milan, Italy","Dr Sabrina Maniscalco, Guillermo García-Pérez, Matteo Rossi, Boris Sokolov",N/A,https://www.eu-startups.com/2026/05/quantum-software-startup-algorithmiq-raises-e18-million-and-moves-global-hq-from-helsinki-to-milan/
Lexroom,"Milan, Italy","Paolo Fois, Martina Domenicali, and Andrea Lonza",N/A,https://www.eu-startups.com/2025/09/italian-genai-legal-platform-lexroom-closes-e16-million-funding-round/
Tot,"Milan, Italy","Doris Messina, Bruno Reggiani, Andrea Susta",,https://www.eu-startups.com/2021/11/fintech-startup-from-milan-tot-closes-e2-million-funding-ahead-of-2022-market-entry/
Titan4,"Rome, Italy",Giovanni Quacquarelli,,https://www.eu-startups.com/2025/10/italian-spacetech-startup-titan4-lands-e4-million-to-scale-its-earth-intelligence-platform-through-satellite-data/
AppQuality,"Milan, Italy","Luca Manara, Edoardo Vannutelli, Filippo Renga",N/A,https://www.eu-startups.com/2020/05/milan-based-appquality-nabs-e3-5-million-for-its-crowd-testing-platform/
United Ventures,Italy,Massimiliano Magrini and Paolo Gesess,null,https://www.eu-startups.com/2020/07/tim-launches-e150-million-fund-for-late-stage-innovative-enterprises-in-italy-and-europe/
Entrepreneur First,London,Alice Bentinck,,https://www.eu-startups.com/2018/10/top-50-europes-most-influential-women-in-the-startup-and-venture-capital-space-3/
,,,,https://www.eu-startups.com/2018/10/the-10-coolest-coworking-spaces-in-turin/
Bestie Bite,"Rome, Italy",Carlotta Robbe Di Lorenzo and Caterina Vertefeuille,N/A,https://www.eu-startups.com/2026/06/italys-female-founded-hospitalitytech-startup-bestie-bite-raises-e1-5-million-to-expand-its-video-review-app-in-the-us/
Filo,Rome,"Giorgio Sadolfo (CEO mentioned, but founders not explicitly listed)",null,https://www.eu-startups.com/2020/04/filo-raises-e2-5-million-to-boost-its-smart-alarm-for-kids-car-seats/
BAGBNB,"Rome, Italy","Alessandro Seina, Giulio De Donato, Giacomo Piva",N/A,https://www.eu-startups.com/2020/01/rome-based-bagbnb-raises-e2-5-million-to-become-worlds-largest-luggage-storage-network/
Aindo,Trieste,Daniele Panfilo,,https://www.eu-startups.com/2023/10/trieste-based-aindo-bags-e6-million-series-a-to-use-synthetic-data-for-training-machine-learning-models/
Satispay,"Milan, Italy",Alberto Dalmasso,N/A,https://www.eu-startups.com/2022/09/milan-based-payment-network-satispay-exceed-e1-billion-valuation-and-becomes-an-italian-unicorn/
Wayve,UK,Not mentioned in the article,Not mentioned in the article,https://www.eu-startups.com/2026/06/british-business-bank-portfolio-passes-50-companies-after-e695-million-scale-up-push/
Contents,Milan,,,https://www.eu-startups.com/2024/12/innovators-to-watch-10-early-stage-startups-shaping-milans-future/
Baze,Aci Castello,,,https://www.eu-startups.com/2026/01/how-sicily-is-reinventing-itself-through-entrepreneurship-10-sicilian-startups-to-watch-in-2026/
Maxi Mobility,Milan,Gian Paolo Incutti,N/A,https://www.eu-startups.com/2025/07/maxi-mobility-lands-e1-2-million-to-electrify-italys-taxis-and-accelerate-zero-emission-mobility/
Young Platform,"Turin, Italy","Six Computer Science students from the University of Turin, including Andrea Ferrero (Co-Founder and CEO)",N/A,https://www.eu-startups.com/2021/06/italys-young-platform-nabs-e3-5-million-to-simplifies-access-to-the-world-of-cryptocurrencies/
Music Magnet,Paris,Frédéric Hérout,,https://www.eu-startups.com/2026/06/75000-ai-songs-a-day-but-europes-music-startups-are-looking-somewhere-smarter/
MotorK,"Milano, Italy",Marco Marlia,,https://www.eu-startups.com/2026/01/milano-based-automotive-saas-provider-motork-secures-e3-million-to-bolster-its-financial-position/
Cleanzy.com,London,Tayga Baltacioglu,Cleanzy.com,https://www.eu-startups.com/2019/09/ai-powered-domestic-services-platform-cleanzy-com-launches-in-london/
Avaneidi,"Milan, Italy",Dr. Rino Micheloni,,https://www.eu-startups.com/2024/06/milan-based-avaneidi-secures-e8-million-series-a-to-advance-storage-tech-and-data-security/
Blubrake,Italy,Fabio Todeschini,N/A,https://www.eu-startups.com/2020/10/italian-e-mobility-scaleup-blubrake-lands-e5-2-million-to-expand-its-innovative-safety-tech-for-e-bikes/
PRIMA Industries,Italy,,,https://www.eu-startups.com/2025/08/italy-raises-the-bar-as-tech-investment-soars-past-2020-total-and-its-only-august/
Bliu Bliu,Lithuania,Claudio Santori,null,https://www.eu-startups.com/2013/02/bliu-bliu-wins-techchill-baltics-2013/
WeRoad,Milan,Erika De Santi,,https://www.eu-startups.com/2022/12/weroad-co-founder-erika-de-santi-will-speak-at-next-years-eu-startups-summit-on-april-20-21-in-barcelona/
Inflow,London,,,https://www.eu-startups.com/2023/10/mind-matters-10-promising-early-stage-startups-pioneering-mental-health-advancements-in-europe/
Trustfull,"Milan, Italy",,,https://www.eu-startups.com/2025/07/italian-fraud-prevention-platform-trustfull-raises-e6-million-to-drive-european-expansion/
Mindful Chef,London,"Giles, Myles and Rob",,https://www.eu-startups.com/2020/05/coolest-food-box-startups-speeding-through-2020/
Ad4Ventures,Italy,null,null,https://www.eu-startups.com/2021/01/boost-your-italy-spain-expansion-with-a-media-for-equitiy-deal-sponsored/
TheStartup.eu,Europe,Stefano Bernardi,TheStartup.eu,https://www.eu-startups.com/2014/04/thestartup-eu-and-eu-startups-com-join-forces/
WeRoad,Milan,null,null,https://www.eu-startups.com/2024/02/andrea-damico-ceo-at-weroad-will-speak-at-this-years-eu-startups-summit/
Cloud4Wi,"Cascina, Italy",Andrea Calcagno,,https://www.eu-startups.com/2014/03/italian-startup-cloud4wi-closes-4m-series-a-funding-round/
Sibill,"Milan, Italy",Mattia Montepara,,https://www.eu-startups.com/2024/06/milan-based-sibill-secures-e6-2-million-to-simplify-and-automate-financial-operations-for-italian-smbs/
Tuidi,"Putignano, Italy",Giulio Martinacci and Vincenzo Morelli,N/A,https://www.eu-startups.com/2025/10/italys-tuidi-secures-e3-million-to-optimise-grocery-retail-through-ai-driven-store-management/
StepsConnect,Milan,"Matteo Trovò, Nicolò, Anton",,https://www.eu-startups.com/2024/04/milan-based-job-search-startup-stepsconnect-raises-e1-million-to-expand-its-recruitment-platform-abroad/
Easyrain,"Rivoli, Italy",Giovanni Blandina,N/A,https://www.eu-startups.com/2023/07/italian-startup-easyrain-secures-e5-8-million-to-keep-saving-more-lives-in-wet-roads/
AID:Tech,Dublin,,,https://www.eu-startups.com/2018/10/10-european-startups-fostering-social-change/
Ittinsect,Rome,,,https://www.eu-startups.com/2023/08/italys-foodtech-renaissance-10-innovative-startups-reshaping-the-culinary-future/
,,,,https://www.eu-startups.com/2024/09/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-sep-9-sep-13/
Scalapay,Milan,Simone Mancini,,https://www.eu-startups.com/2021/01/milan-based-scalapay-raises-e40-million-to-expand-its-buy-now-pay-later-solution/
Doorway,Italy,null,null,https://www.eu-startups.com/2023/05/seedblink-and-doorway-team-up-to-provide-investors-with-great-investment-opportunities-in-top-tier-european-startups/
Jet HR,"Milan, Italy",Marco Ogliengo and Francesco Scalambrino,N/A,https://www.eu-startups.com/2024/09/milan-based-jet-hr-gets-e12-million-to-eliminate-the-bureaucracy-surrounding-payroll/
BOOM imagestudio,"Milan, Italy","Federico Mattia Dolci, Giacomo, Jacopo",,https://www.eu-startups.com/2020/03/its-important-to-maintain-certain-habits-in-order-to-find-a-balance-interview-with-boom-imagestudios-founder-federico/
Bending Spoons,"Milan, Italy","Luca Ferrari, Matteo Danieli, Francesco Patarnello, Luca Querella",,https://www.eu-startups.com/2026/06/milan-based-bending-spoons-files-for-nasdaq-ipo-is-europe-losing-another-tech-contender/
Leaf Space,"Milan, Italy",Jonata Puglia,,https://www.eu-startups.com/2021/01/milan-based-spacetech-startup-leaf-space-secures-e5-million-funding/
Rent2Cash,"Rome, Italy","Gianluca Fioranelli, Yilang Chen and Marco Grassi",N/A,https://www.eu-startups.com/2024/07/rome-based-rent2cash-closes-e3-million-to-launch-rental-advance-platform-for-property-owners/
TOMMI,,,,https://www.eu-startups.com/2018/06/we-start-you-up-take-your-startup-to-the-cloud-sky-is-the-limit-sponsored/
Supermercato24,"Milan, Italy",Not specified in the article,Not specified in the article,https://www.eu-startups.com/2020/01/milan-based-supermercato24-raises-e11-million-to-expand-its-e-grocery-marketplace-in-europe/
Freeda Media,"Milan, Italy",Andrea Scotti Calderini,,https://www.eu-startups.com/2021/03/andrea-scotti-calderini-ceo-of-freeda-media-will-speak-at-the-eu-startups-summit-on-28-30-april-2021/
Soplaya,"Milan, Italy",Mauro Germani,,https://www.eu-startups.com/2023/11/milan-based-foodtech-soplaya-secures-e12-5-million-to-revolutionise-the-restaurant-supplies-industry/
Translated,null,Marco Trombetti,null,https://www.eu-startups.com/2019/10/why-and-how-to-build-a-startup-chapter-12-love/
Cellply,"Bologna, Italy",Massimo Bocchi and Roberto Guerrieri,N/A,https://www.eu-startups.com/2023/09/bologna-based-cellply-secures-e3-6-million-and-sets-sights-on-future-growth/
360 Capital,Paris,,,https://www.eu-startups.com/2024/12/360-capital-announces-the-1st-closing-of-its-e140-million-climate-tech-fund-360-life-ii/
PrezziPazzi.com,London,Enrico Pandian,PrezziPazzi.com,https://www.eu-startups.com/2021/03/how-the-pandemic-is-reversing-italys-brain-drain-interviews-with-the-italian-startup-ecosystem/
null,"Bari, Italy",Roberto Bellotti,null,https://www.eu-startups.com/2017/10/ai-researchers-from-italy-can-spot-alzheimer-disease-years-before-symptoms-appear/
TimeFlow,"Milan, Italy","Lorenzo Danese, Iacopo Albanese, Gianmarco Ferrante, Federico Patrioli",N/A,https://www.eu-startups.com/2025/02/timeflow-closes-e4-million-funding-round-to-expand-abroad-and-develop-ai-features/
Plino,"Turin, Italy","Pietro Galimberti, Viola Bonesu, and Enrico Castelli",N/A,https://www.eu-startups.com/2025/09/italys-plino-raises-e650k-round-to-improve-smes-financial-planning-and-analysis-with-generative-ai/
Astradyne,"Bari, Italy",Davide Vittori (CEO),N/A,https://www.eu-startups.com/2025/09/italian-spacetech-astradyne-just-raised-e2-million-for-its-ultralight-solar-panels-designed-for-space/
Good News Coffee,Barcelona,,,https://www.eu-startups.com/2023/10/the-perfect-blend-10-promising-european-coffee-startups-to-watch/
null,null,null,null,https://www.eu-startups.com/2026/06/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-june-22-june-26/
null,null,null,null,https://www.eu-startups.com/2019/11/cosmoprof-worldwide-bologna-2020-presents-the-garden-of-innovation-sponsored/
Screevo,"Rome, Italy",,,https://www.eu-startups.com/2021/09/italian-startup-screevo-secures-e510k-for-its-voice-control-digital-assistant-for-industry-4-0/
Resilco,"Bergamo, Italy",David Callejo Munoz,N/A,https://www.eu-startups.com/2025/03/cleantech-startup-resilico-secures-e5-million-to-transform-the-industrial-waste-sector/
Translated,,Marco Trombetti,,https://www.eu-startups.com/2019/08/why-and-how-to-build-a-startup-chapter-4-pitch/
Moleskine,"Milan, Italy",Francesco Franceschi,N/A,https://www.eu-startups.com/2011/01/index-ventures-ditching-web-for-classic-businesses/
Exein,"Rome, Italy",Gianni Cuozzo,,https://www.eu-startups.com/2025/12/italys-embedded-cybersecurity-firm-exein-adds-e100-million-in-funding-as-global-expansion-continues/
Ephos,"Milan, Italy",Andrea Rocchetto,,https://www.eu-startups.com/2024/09/milan-based-ephos-raises-e7-6-million-to-deliver-glass-based-quantum-photonic-chips/
profitize,"Bolzano, South Tyrol, Italy",Simon Falkensteiner and Michael Gorfer,,https://www.eu-startups.com/2026/05/south-tyrols-profitize-raises-e1-4-million-to-scale-ai-powered-financial-planning-for-the-hospitality-sector/
Fabula AI,"London, United Kingdom",Not specified,Not specified,https://www.eu-startups.com/2018/11/10-european-startups-protecting-us-from-fake-news-and-data-privacy-breaches/
Kaitiaki,"Udine, Italy",,,https://www.eu-startups.com/2019/01/10-italian-startups-to-watch-out-for-in-2019/
Glassfy,"Turin, Italy",null,null,https://www.eu-startups.com/2023/08/fuelling-innovation-in-europe-interview-with-squareones-partner-federico-wengi/
Deliveristo,"Milan, Italy","Ivan Aimo, Luca Calia, Gabriele Angeleri",N/A,https://www.eu-startups.com/2022/08/milan-based-deliveristo-bags-e7-million-for-its-innovative-foodtech-marketplace/
null,null,null,null,https://www.eu-startups.com/2020/01/special-call-for-disruptive-beautytech-startups-to-join-leading-cosmetics-trade-fair-12-14-march-sponsored/
BRUM,"Milan, Italy","Luca Cozzarini, Paolo De Nadai",N/A,https://www.eu-startups.com/2026/01/milan-based-brum-closes-e5-million-round-to-steer-italys-driving-schools-into-the-21st-century/
Oblique Therapeutics,Sweden,,,https://www.eu-startups.com/2019/10/10-european-biotech-startups-to-look-out-for-in-2019-and-beyond/
Penta,Berlin,Matteo Concas,,https://www.eu-startups.com/2019/11/the-rise-of-challenger-banks-and-the-future-of-sme-banking-interview-with-penta-co-founder-and-cmo-matteo-concas/
Witty,Rome,three engineers of La Sapienza University in Rome,,https://www.eu-startups.com/2022/08/10-rising-stars-from-romes-thriving-startup-scene/
Brumbrum,Milan,null,null,https://www.eu-startups.com/2020/01/10-promising-italy-based-startups-to-watch-out-for-in-2020/
Cosmico,Milan,"Francesco Marino, Simone Tornabene, and Matteo Roversi",null,https://www.eu-startups.com/2026/05/milan-based-cosmico-raises-e12-million-acquires-flatmates-to-expand-future-of-work-platform/
Fintech District,"Milan, Italy",null,null,https://www.eu-startups.com/2020/03/our-fintech-community-has-come-together-to-support-the-fight-against-covid-19-interview-with-head-of-fintech-district-alessandro/
Neosurance,Italy,Not specified in the article,Not specified in the article,https://www.eu-startups.com/2020/04/neosurance-raises-e1-1-million-to-sell-insurance-in-7-seconds-on-mobile/
Spotify,null,Daniel Ek,null,https://www.eu-startups.com/2017/10/10-european-founders-who-conquered-the-us-with-their-startup-and-succeeded-big-time/
Casavo,"Milan, Italy",Giorgio Tinacci,,https://www.eu-startups.com/2023/11/giorgio-tinacci-founder-ceo-of-italian-unicorn-casavo-will-speak-at-next-years-eu-startups-summit/
Futura,"Milan, Italy","Andrea Chirolli, Francesco Salvatore, and Lorenzo Pinto",N/A,https://www.eu-startups.com/2024/05/milan-based-edtech-futura-raises-e14-million-series-a-to-make-the-world-learn-faster-and-better/
Kurs Orbital,"Turin, Italy",Volodymyr Usov,N/A,https://www.eu-startups.com/2024/03/turin-based-spacetech-kurs-orbital-secures-e3-7-million-to-democratise-in-orbit-servicing-and-logistics/
Tanaza,Milan,Sebastiano Bertani,Tanaza.com,https://www.eu-startups.com/2012/05/interview-with-sebastiano-bertani-tanaza/
Aleet,Lublin,,,https://www.eu-startups.com/2024/05/innovators-in-defence-10-european-startups-shaping-the-future-of-global-security/
Satispay,"Milan, Italy",Alberto Dalmasso,N/A,https://www.eu-startups.com/2026/06/italian-fintech-unicorn-satispay-plans-e120-million-raise-secures-nearly-e60-million-from-existing-investors/
Translated,null,Marco Trombetti,null,https://www.eu-startups.com/2019/09/why-and-how-to-build-a-startup-chapter-9-engineers/
Intertwine,Italy,,,https://www.eu-startups.com/2018/11/intertwine-acquires-20lines/
Covision Media,Bressanone,Burkhard Güssefeld and Franz Tschimben,,https://www.eu-startups.com/2025/03/backed-by-meta-and-adidas-covision-media-raises-e5-million-to-lead-the-3d-content-revolution/
AQLAS,Italy,"Dr Carlo Sias (Principal Investigator), Istituto Nazionale di Ricerca Metrologica (INRiM)",N/A,https://www.eu-startups.com/2025/01/quantum-leap-aqlas-scores-e2-5-million-from-eic-grant-for-laser-innovation/
Majeeko,Rome,,,https://www.eu-startups.com/2017/01/hotter-than-your-favorite-pizza-10-italian-startups-to-watch-in-2017/
Almetra,Berlin,Maximilian Fischer and Silviu Homoceanu,,https://www.eu-startups.com/2026/06/bosch-and-siemens-energy-partner-almetra-raises-e16-million-series-a-for-manufacturing-intelligence-platform/
Travel Appeal,"Florence, Italy",Mirko Lalli,N/A,https://www.eu-startups.com/2018/10/florence-based-travel-appeal-raises-e3-million-to-help-travel-industry-professionals-with-data-science-and-ai/
Aerones,Latvia,null,null,https://www.eu-startups.com/2023/11/shaping-a-greener-future-europes-25-most-promising-renewable-energy-startups/
Verkko Robotics,London,"Stephen McCreath, Giancarlo Cobino",,https://www.eu-startups.com/2026/06/verkko-robotics-launch-voltaic-a-cost-and-energy-saving-spiking-neural-inference-model-sponsored/
xFarm,Italy,Matteo Vanotti,,https://www.eu-startups.com/2019/12/xfarm-raises-3-million-to-digitalise-farms/
